0226,scans,0000097,DataLength
"header",0028,"lines"
"Date",7/6/2017,"Time",10:49:07 AM
"ID","HAL 7 RC RGA 201 #12750","Version",2
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",18,18,0.01,100,100,0.9,1,
"Scan 2","RGA","Faraday","mass",28,28,0.01,100,100,1,1,
"Scan 3","RGA","Faraday","mass",32,32,0.01,100,100,0.86,1,
"Scan 4","RGA","Faraday","mass",44,44,0.01,100,100,1.4,1,
"Scan 5","RGA","Faraday","mass",14,14,0.01,100,100,0.072,1,
"Scan 6","RGA","Faraday","mass",2,2,0.01,100,100,0.44,1,
"Environment",
"Global","RGA"
"F1",0,"( 1 = on, 0 = off )"
"F2",1,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",220.000,"uA"
"flush-time",0.500,"s"
"focus",-90,"V"
"inlet",0,""
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",860,"V"
"resolution",0,"%"
"sample-time",1.000,"s"
"Data",6
"Time","ms","Water","Nitrogen","Oxygen","Carbon Dioxide","Nitrogen","Hydrogen",
00:00:00,    526,           0,           0,           0,           0,           0,  9.7727e-08,
00:00:00,    964,  1.7176e-08,-5.37499e-09,-7.74998e-10, 5.27516e-09,-3.73263e-08,           0,
00:00:06,   6343,   9.436e-09, 2.25749e-09, 8.74998e-10, 3.83928e-10, 4.47915e-09,           0,
00:00:12,  12888, 9.56978e-09, 2.66707e-09, 1.14124e-09, 2.44946e-10, 1.58263e-09, 3.98236e-10,
00:00:28,  28293, 9.60933e-09, 2.58676e-09, 1.00747e-09, 2.14838e-10, 1.91349e-09, 4.37718e-10,
00:01:05,  65178, 9.61722e-09, 2.52904e-09, 9.77298e-10, 2.33174e-10, 1.67072e-09, 4.67916e-10,
00:01:48, 108692, 9.62689e-09, 2.36439e-09,  9.5666e-10, 2.24613e-10, 1.56875e-09, 4.28923e-10,
00:02:32, 152206, 9.57644e-09, 2.18234e-09,  8.8836e-10, 2.33336e-10, 1.34628e-09, 4.29998e-10,
00:03:15, 195721, 9.60289e-09, 2.10234e-09, 8.81948e-10,  2.3084e-10, 1.40883e-09, 4.38745e-10,
00:03:59, 239235, 9.62867e-09, 2.03629e-09,  8.3681e-10, 2.37966e-10, 1.32881e-09, 4.41677e-10,
00:04:42, 282749, 9.81678e-09, 1.91932e-09, 8.01986e-10, 2.31331e-10, 1.42064e-09, 4.31489e-10,
00:05:26, 326263, 1.00894e-08, 1.86978e-09, 7.98248e-10, 2.50935e-10, 1.28596e-09, 4.51743e-10,
00:06:09, 369778, 1.05168e-08, 1.82311e-09, 8.00248e-10, 2.51111e-10,  1.1501e-09, 4.78716e-10,
00:06:53, 413292, 1.12231e-08,  1.7775e-09,  8.0561e-10, 2.47994e-10, 9.83319e-10,  4.6948e-10,
00:07:36, 456806, 1.19928e-08, 1.73982e-09, 8.04923e-10, 2.61063e-10, 1.27999e-09, 5.01389e-10,
00:08:18, 498731, 1.26013e-08, 1.73383e-09, 8.24236e-10, 2.63014e-10, 1.14263e-09, 5.44925e-10,
00:09:00, 540656, 1.29298e-08,  1.7193e-09, 8.39973e-10, 2.73011e-10, 1.26267e-09, 5.01657e-10,
00:09:42, 582581, 1.27208e-08, 1.69066e-09, 8.04948e-10, 2.63528e-10, 1.39689e-09,  4.9032e-10,
00:10:24, 624506, 1.23923e-08, 1.69841e-09,  8.0616e-10, 2.68719e-10, 1.10515e-09, 5.01852e-10,
00:11:06, 666431,  1.1862e-08, 1.65684e-09, 7.71798e-10,  2.8502e-10, 1.13351e-09, 5.06909e-10,
00:11:48, 708356, 1.17497e-08, 1.61649e-09, 7.53736e-10, 3.15151e-10,  1.1925e-09, 5.24232e-10,
00:12:30, 750281, 1.16314e-08, 1.64756e-09, 7.27699e-10, 3.86408e-10, 9.53903e-10, 5.17807e-10,
00:13:12, 792206, 1.18464e-08,  1.6757e-09, 7.39236e-10, 5.25974e-10, 9.25389e-10, 5.39452e-10,
00:13:54, 834131, 1.21462e-08, 1.69634e-09, 7.25923e-10, 7.31036e-10, 1.20996e-09, 5.64177e-10,
00:14:36, 876056, 1.25787e-08, 1.77029e-09,  7.2151e-10, 9.83586e-10,  1.1489e-09, 5.78177e-10,
00:15:17, 917981, 1.27804e-08,    1.88e-09,  7.2176e-10, 1.22613e-09, 1.12336e-09, 5.73389e-10,
00:15:59, 959906, 1.28844e-08,  1.9384e-09, 7.16123e-10, 1.36969e-09, 9.75403e-10, 5.70848e-10,
00:16:41,1.00183e+06,  1.2759e-08, 1.87692e-09, 6.97423e-10, 1.48497e-09, 9.34042e-10, 5.88952e-10,
00:17:20,1.04061e+06, 1.25714e-08,  1.8796e-09, 6.82623e-10, 1.58023e-09, 1.18742e-09, 5.86607e-10,
00:18:02,1.08253e+06, 1.25189e-08, 1.93697e-09, 6.56599e-10, 1.74557e-09, 9.52417e-10, 5.84823e-10,
00:18:44,1.12446e+06, 1.22501e-08, 1.94113e-09, 6.17049e-10, 1.90459e-09,  1.2346e-09, 5.80939e-10,
00:19:26,1.16638e+06, 1.22644e-08, 1.93878e-09, 5.83149e-10, 2.04771e-09, 1.07111e-09, 5.78641e-10,
00:20:08,1.20831e+06, 1.21236e-08, 1.96584e-09, 5.84449e-10, 2.15676e-09, 1.25729e-09, 5.88927e-10,
00:20:50,1.25023e+06, 1.20268e-08, 1.95942e-09,  5.6451e-10, 2.21386e-09, 1.45064e-09, 5.88316e-10,
00:21:32,1.29216e+06, 1.20567e-08, 1.98429e-09, 5.57436e-10,  2.2363e-09,  1.3079e-09, 6.13091e-10,
00:22:14,1.33408e+06, 1.17879e-08,  1.9661e-09, 5.49536e-10, 2.29356e-09, 1.15353e-09, 5.54184e-10,
00:22:56,1.37601e+06,  1.1512e-08, 1.94724e-09, 5.04523e-10, 2.33457e-09, 1.13904e-09,  6.0818e-10,
00:23:37,1.41793e+06, 1.16374e-08, 1.96028e-09, 4.83436e-10,  2.3757e-09, 1.19578e-09, 6.07177e-10,
00:24:19,1.45986e+06, 1.15562e-08, 1.97347e-09, 4.91636e-10, 2.41778e-09, 1.16965e-09, 6.02559e-10,
00:25:01,1.50178e+06, 1.14069e-08, 1.96869e-09, 4.86512e-10, 2.51584e-09, 1.18817e-09, 6.09425e-10,
00:25:43,1.54371e+06, 1.12874e-08, 1.97991e-09, 4.78123e-10, 2.65235e-09, 9.37333e-10, 6.09768e-10,
00:26:25,1.58563e+06, 1.11381e-08, 1.98594e-09, 4.80223e-10, 2.76387e-09, 1.24849e-09, 6.28409e-10,
00:27:04,1.62441e+06, 1.10031e-08, 2.04199e-09, 4.26386e-10, 2.87009e-09, 1.15397e-09, 6.43289e-10,
00:27:46,1.66633e+06, 1.09506e-08, 2.02779e-09, 4.30436e-10, 3.00371e-09,  1.1589e-09, 6.33809e-10,
00:28:28,1.70826e+06, 1.08467e-08, 2.11305e-09, 3.87136e-10, 3.25189e-09, 1.08022e-09, 6.71727e-10,
00:29:10,1.75018e+06, 1.07499e-08, 2.18921e-09, 3.68649e-10, 3.47744e-09, 9.42403e-10, 6.44777e-10,
00:29:52,1.79211e+06, 1.06448e-08, 2.42241e-09, 3.72249e-10, 3.80746e-09, 1.35778e-09, 6.18832e-10,
00:30:34,1.83403e+06, 1.04812e-08, 2.70425e-09, 3.69186e-10, 4.01546e-09, 1.00929e-09, 6.98161e-10,
00:31:12,1.87281e+06, 1.04298e-08, 3.13401e-09, 3.42749e-10, 4.13807e-09, 1.26581e-09, 7.08252e-10,
00:31:54,1.91473e+06, 1.02949e-08, 3.53913e-09, 3.53162e-10, 4.22779e-09, 1.29089e-09, 7.82011e-10,
00:32:36,1.95666e+06, 1.02423e-08, 4.29124e-09, 3.39324e-10,  4.2456e-09, 1.29104e-09, 7.51032e-10,
00:33:18,1.99858e+06,  1.0167e-08, 5.26596e-09, 3.43536e-10, 4.15117e-09, 1.41063e-09,  7.7197e-10,
00:34:00,2.04051e+06, 1.00548e-08, 6.77562e-09, 3.14149e-10, 3.94394e-09, 1.58488e-09, 8.22836e-10,
