#EXPORTTYPE:DATA ALL
#FILE:MoC desorb Ar 1000C 20Kpm.ngb-sss
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:desorb 1000C
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 409C/CD
#PROJECT:
#DATE/TIME:06.07.2017 10:50
#CORR. FILE:
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:
#OPERATOR:
#REMARK:MFC 2 S.P. = 60 SCCM (Ar)  MFC 3 S.P. = 20 SCCM (Ar)
#SAMPLE:MoC SKN 2-14-3
#SAMPLE MASS /mg:80.5
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:166
#REFERENCE CRUCIBLE MASS /mg:0
#GAS 1:AIR(80/20)
#FLOW RATE 1 /(ml/min):0
#GAS 2:ARGON
#FLOW RATE 2 /(ml/min):60
#DSC RANGE /µV:5000
#TG RANGE /mg:50000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25.0°C....1000.0°C/-99.0....20.0K/min
#SEGMENT:S1-3/3
#SEG. 1:25.0°C/20.0(K/min)/1000.0°C
#SEG. 2:1000.0°C/01:00/1000.0°C
#SEG. 3:1000.0°C/99.0(K/min)/100.0°C

##Temp./°C;Time/min;DSC/uV;Mass/%;Sensit./(uV/mW);Segment
 25.01700;  0.00000;       0.14875;100.00000;1.00000;1
 25.02200;  0.02000;       0.14375;100.00000;1.00000;1
 25.02000;  0.04000;       0.14625;100.00000;1.00000;1
 25.02300;  0.06000;       0.15250;100.00000;1.00000;1
 25.02800;  0.08000;       0.14375;100.00000;1.00000;1
 25.02000;  0.10000;       0.14375;100.00000;1.00000;1
 25.01600;  0.12000;       0.14250;100.00000;1.00000;1
 25.01400;  0.14000;       0.14500;100.00000;1.00000;1
 25.01900;  0.16000;       0.14125;100.00000;1.00000;1
 25.02900;  0.18000;       0.14250;100.00000;1.00000;1
 25.02200;  0.20000;       0.14500;100.00000;1.00000;1
 25.01900;  0.22000;       0.13875;100.00000;1.00000;1
 25.01700;  0.24000;       0.13875;100.00000;1.00000;1
 25.02000;  0.26000;       0.13625; 99.99379;1.00000;1
 25.02500;  0.28000;       0.13000; 99.99379;1.00000;1
 25.01700;  0.30000;       0.13125; 99.99379;1.00000;1
 25.02000;  0.32000;       0.13500; 99.99379;1.00000;1
 25.02300;  0.34000;       0.13500; 99.99379;1.00000;1
 25.02500;  0.36000;       0.13250; 99.99379;1.00000;1
 25.02200;  0.38000;       0.13000; 99.99379;1.00000;1
 25.01300;  0.40000;       0.13250; 99.99379;1.00000;1
 25.01700;  0.42000;       0.12750; 99.99379;1.00000;1
 25.01400;  0.44000;       0.13125; 99.99379;1.00000;1
 25.02300;  0.46000;       0.12875; 99.98758;1.00000;1
 25.02900;  0.48000;       0.12625; 99.98758;1.00000;1
 25.02800;  0.50000;       0.13000; 99.98758;1.00000;1
 25.03700;  0.52000;       0.12625; 99.98758;1.00000;1
 25.03600;  0.54000;       0.12750; 99.98758;1.00000;1
 25.03600;  0.56000;       0.12750; 99.98137;1.00000;1
 25.03200;  0.58000;       0.12750; 99.98137;1.00000;1
 25.04600;  0.60000;       0.12750; 99.98137;1.00000;1
 25.04200;  0.62000;       0.13000; 99.98137;1.00000;1
 25.04200;  0.64000;       0.12500; 99.98137;1.00000;1
 25.03400;  0.66000;       0.12625; 99.98137;1.00000;1
 25.03400;  0.68000;       0.13000; 99.98137;1.00000;1
 25.04200;  0.70000;       0.13000; 99.98137;1.00000;1
 25.04600;  0.72000;       0.13250; 99.98137;1.00000;1
 25.04800;  0.74000;       0.12750; 99.98137;1.00000;1
 25.05500;  0.76000;       0.13500; 99.98137;1.00000;1
 25.05400;  0.78000;       0.13375; 99.98137;1.00000;1
 25.05100;  0.80000;       0.14375; 99.98137;1.00000;1
 25.06400;  0.82000;       0.14000; 99.98758;1.00000;1
 25.07500;  0.84000;       0.14000; 99.98758;1.00000;1
 25.08100;  0.86000;       0.15000; 99.98758;1.00000;1
 25.08700;  0.88000;       0.15250; 99.98758;1.00000;1
 25.09000;  0.90000;       0.16125; 99.98758;1.00000;1
 25.10400;  0.92000;       0.16375; 99.98758;1.00000;1
 25.12200;  0.94000;       0.17125; 99.98758;1.00000;1
 25.13100;  0.96000;       0.17250; 99.99379;1.00000;1
 25.13300;  0.98000;       0.17750; 99.99379;1.00000;1
 25.14300;  1.00000;       0.18375; 99.99379;1.00000;1
 25.16600;  1.02000;       0.18625; 99.99379;1.00000;1
 25.17200;  1.04000;       0.19375; 99.99379;1.00000;1
 25.18000;  1.06000;       0.20125;100.00000;1.00000;1
 25.19900;  1.08000;       0.20625;100.00000;1.00000;1
 25.21500;  1.10000;       0.21750;100.00000;1.00000;1
 25.23900;  1.12000;       0.22875;100.00000;1.00000;1
 25.25400;  1.14000;       0.23250;100.00000;1.00000;1
 25.27100;  1.16000;       0.24250;100.00000;1.00000;1
 25.29200;  1.18000;       0.25125;100.00000;1.00000;1
 25.31000;  1.20000;       0.26125;100.00000;1.00000;1
 25.32800;  1.22000;       0.27500;100.00000;1.00000;1
 25.35600;  1.24000;       0.29000;100.00621;1.00000;1
 25.37100;  1.26000;       0.30375;100.00621;1.00000;1
 25.41000;  1.28000;       0.31250;100.01242;1.00000;1
 25.43800;  1.30000;       0.32875;100.01242;1.00000;1
 25.46800;  1.32000;       0.33625;100.01242;1.00000;1
 25.49700;  1.34000;       0.35750;100.01242;1.00000;1
 25.53000;  1.36000;       0.37125;100.01863;1.00000;1
 25.56300;  1.38000;       0.37875;100.01863;1.00000;1
 25.60100;  1.40000;       0.39750;100.01863;1.00000;1
 25.63200;  1.42000;       0.40875;100.01863;1.00000;1
 25.67400;  1.44000;       0.43125;100.02484;1.00000;1
 25.71600;  1.46000;       0.44625;100.02484;1.00000;1
 25.75700;  1.48000;       0.46625;100.02484;1.00000;1
 25.80100;  1.50000;       0.48625;100.03106;1.00000;1
 25.84500;  1.52000;       0.50125;100.03106;1.00000;1
 25.88000;  1.54000;       0.52000;100.03727;1.00000;1
 25.93000;  1.56000;       0.53750;100.03727;1.00000;1
 25.98100;  1.58000;       0.55875;100.03727;1.00000;1
 26.03100;  1.60000;       0.58000;100.04348;1.00000;1
 26.07400;  1.62000;       0.60125;100.04348;1.00000;1
 26.13100;  1.64000;       0.62500;100.04969;1.00000;1
 26.18900;  1.66000;       0.64000;100.04969;1.00000;1
 26.23500;  1.68000;       0.66750;100.04969;1.00000;1
 26.30200;  1.70000;       0.68875;100.05590;1.00000;1
 26.33800;  1.72000;       0.71250;100.05590;1.00000;1
 26.40600;  1.74000;       0.73375;100.06211;1.00000;1
 26.47600;  1.76000;       0.76250;100.06211;1.00000;1
 26.53500;  1.78000;       0.78125;100.06211;1.00000;1
 26.59300;  1.80000;       0.80875;100.06832;1.00000;1
 26.65500;  1.82000;       0.83750;100.06832;1.00000;1
 26.71700;  1.84000;       0.86500;100.07453;1.00000;1
 26.79400;  1.86000;       0.89000;100.07453;1.00000;1
 26.86200;  1.88000;       0.92000;100.08075;1.00000;1
 26.92200;  1.90000;       0.94750;100.08075;1.00000;1
 26.99300;  1.92000;       0.97750;100.08075;1.00000;1
 27.06400;  1.94000;       1.00750;100.08696;1.00000;1
 27.13600;  1.96000;       1.02750;100.08696;1.00000;1
 27.19800;  1.98000;       1.06375;100.09317;1.00000;1
 27.28100;  2.00000;       1.09250;100.09317;1.00000;1
 27.36200;  2.02000;       1.12125;100.09938;1.00000;1
 27.43500;  2.04000;       1.15500;100.09938;1.00000;1
 27.52000;  2.06000;       1.18375;100.10559;1.00000;1
 27.59700;  2.08000;       1.21875;100.10559;1.00000;1
 27.67800;  2.10000;       1.25000;100.11180;1.00000;1
 27.75700;  2.12000;       1.28250;100.11801;1.00000;1
 27.83900;  2.14000;       1.31125;100.11801;1.00000;1
